,year,value,count
310,2008,240,535
311,2008,245,497
312,2008,250,518
313,2008,255,466
314,2008,260,441
315,2008,265,420
316,2008,270,390
317,2008,275,401
318,2008,280,399
319,2008,285,348
320,2008,290,297
321,2008,295,377
322,2008,300,300
323,2008,305,304
324,2008,310,247
325,2008,315,265
326,2008,320,248
327,2008,325,236
328,2008,330,241
329,2008,335,235
330,2008,340,222
331,2008,345,228
332,2008,350,182
333,2008,355,178
334,2008,360,196
335,2008,365,189
336,2008,370,184
337,2008,375,181
338,2008,380,156
339,2008,385,143
340,2008,390,153
341,2008,395,128
342,2009,75,2
343,2009,80,2
344,2009,85,7
345,2009,90,22
346,2009,95,66
347,2009,100,125
348,2009,105,233
349,2009,110,374
350,2009,115,580
351,2009,120,766
352,2009,125,944
353,2009,130,1149
354,2009,135,1423
355,2009,140,1514
356,2009,145,1747
357,2009,150,1799
358,2009,155,1743
359,2009,160,1802
360,2009,165,1812
361,2009,170,1813
362,2009,175,1789
363,2009,180,1712
364,2009,185,1687
365,2009,190,1566
366,2009,195,1514
367,2009,200,1359
368,2009,205,1401
369,2009,210,1296
370,2009,215,1261
371,2009,220,1221
372,2009,225,1122
373,2009,230,1060
374,2009,235,1034
375,2009,240,909
376,2009,245,934
377,2009,250,898
378,2009,255,817
379,2009,260,748
380,2009,265,746
381,2009,270,727
382,2009,275,636
383,2009,280,611
384,2009,285,590
385,2009,290,554
386,2009,295,527
387,2009,300,502
388,2009,305,487
389,2009,310,431
390,2009,315,467
391,2009,320,434
392,2009,325,453
393,2009,330,378
394,2009,335,372
395,2009,340,353
396,2009,345,338
397,2009,350,341
398,2009,355,307
399,2009,360,315
400,2009,365,302
401,2009,370,294
402,2009,375,276
403,2009,380,243
404,2009,385,243
405,2009,390,267
406,2009,395,244
407,2010,65,2
408,2010,70,8
409,2010,75,16
410,2010,80,46
411,2010,85,85
412,2010,90,174
413,2010,95,321
414,2010,100,516
415,2010,105,769
416,2010,110,997
417,2010,115,1328
418,2010,120,1560
419,2010,125,1918
420,2010,130,2181
421,2010,135,2549
422,2010,140,2626
423,2010,145,2665
424,2010,150,2831
425,2010,155,2829
426,2010,160,2828
427,2010,165,2707
428,2010,170,2621
429,2010,175,2553
430,2010,180,2384
431,2010,185,2287
432,2010,190,2245
433,2010,195,2044
434,2010,200,1875
435,2010,205,1762
436,2010,210,1690
437,2010,215,1601
438,2010,220,1510
439,2010,225,1360
440,2010,230,1377
441,2010,235,1233
442,2010,240,1151
443,2010,245,1104
444,2010,250,1060
445,2010,255,908
446,2010,260,917
447,2010,265,855
448,2010,270,775
449,2010,275,780
450,2010,280,751
451,2010,285,700
452,2010,290,649
453,2010,295,598
454,2010,300,557
455,2010,305,524
456,2010,310,536
457,2010,315,500
458,2010,320,497
459,2010,325,523
460,2010,330,437
461,2010,335,400
462,2010,340,426
463,2010,345,380
464,2010,350,333
465,2010,355,378
466,2010,360,325
467,2010,365,305
468,2010,370,302
469,2010,375,324
470,2010,380,301
471,2010,385,279
472,2010,390,275
473,2010,395,270
474,2011,55,1
475,2011,60,3
476,2011,65,10
477,2011,70,18
478,2011,75,69
479,2011,80,157
480,2011,85,344
481,2011,90,566
482,2011,95,939
483,2011,100,1289
484,2011,105,1710
485,2011,110,2115
486,2011,115,2507
487,2011,120,2739
488,2011,125,3280
489,2011,130,3482
490,2011,135,3630
491,2011,140,3706
492,2011,145,3847
493,2011,150,3714
494,2011,155,3518
495,2011,160,3500
496,2011,165,3307
497,2011,170,3186
498,2011,175,3063
499,2011,180,2826
500,2011,185,2554
501,2011,190,2478
502,2011,195,2343
503,2011,200,2044
504,2011,205,2032
505,2011,210,1789
506,2011,215,1749
507,2011,220,1646
508,2011,225,1538
509,2011,230,1432
510,2011,235,1351
511,2011,240,1249
512,2011,245,1217
513,2011,250,1119
514,2011,255,1038
515,2011,260,986
516,2011,265,924
517,2011,270,880
518,2011,275,807
519,2011,280,766
520,2011,285,746
521,2011,290,676
522,2011,295,671
523,2011,300,634
524,2011,305,525
525,2011,310,575
526,2011,315,505
527,2011,320,462
528,2011,325,479
529,2011,330,447
530,2011,335,419
531,2011,340,381
532,2011,345,361
533,2011,350,383
534,2011,355,334
535,2011,360,359
536,2011,365,368
537,2011,370,318
538,2011,375,285
539,2011,380,312
540,2011,385,294
541,2011,390,327
542,2011,395,283
543,2012,60,8
544,2012,65,13
