,competitionId,eventId,roundTypeId,pos,best,average,personName,personId,personCountryId,formatId,value1,value2,value3,value4,value5,regionalSingleRecord,regionalAverageRecord
463580,NorthparkAdelaide2014,333,f,1,711,756,Feliks Zemdegs,2009ZEMD01,Australia,a,744,840,727,711,797,,
463596,NorthparkAdelaide2014,333,2,1,728,854,Feliks Zemdegs,2009ZEMD01,Australia,a,728,980,965,771,827,,
463621,NorthparkAdelaide2014,333,1,1,697,816,Feliks Zemdegs,2009ZEMD01,Australia,a,955,697,830,793,825,,
463628,NorthparkAdelaide2014,333bf,f,1,6909,7750,Feliks Zemdegs,2009ZEMD01,Australia,3,9338,6909,7003,0,0,,
463636,NorthparkAdelaide2014,555,c,1,5341,5575,Feliks Zemdegs,2009ZEMD01,Australia,a,5765,5831,5343,5618,5341,,
463645,NorthparkAdelaide2014,333oh,f,1,1259,1389,Feliks Zemdegs,2009ZEMD01,Australia,a,1259,1413,1427,1434,1328,,
463655,NorthparkAdelaide2014,333oh,d,1,1116,1274,Feliks Zemdegs,2009ZEMD01,Australia,a,1571,1384,1319,1116,1118,,OcR
463661,NorthparkAdelaide2014,pyram,f,2,366,634,Feliks Zemdegs,2009ZEMD01,Australia,a,615,366,1180,619,669,,
463677,NorthparkAdelaide2014,pyram,1,2,408,558,Feliks Zemdegs,2009ZEMD01,Australia,a,528,805,638,509,408,,
463686,NorthparkAdelaide2014,444,f,1,2475,2989,Feliks Zemdegs,2009ZEMD01,Australia,a,2911,3171,2886,2475,3490,,
463701,NorthparkAdelaide2014,444,d,1,2716,3149,Feliks Zemdegs,2009ZEMD01,Australia,a,2956,3556,3434,2716,3058,,
491428,MelbourneWinter2014,333,f,1,777,940,Feliks Zemdegs,2009ZEMD01,Australia,a,1030,-1,922,777,869,,
491469,MelbourneWinter2014,333,2,1,797,861,Feliks Zemdegs,2009ZEMD01,Australia,a,797,925,859,913,811,,
491526,MelbourneWinter2014,333,1,1,705,783,Feliks Zemdegs,2009ZEMD01,Australia,a,927,715,719,705,916,,
491530,MelbourneWinter2014,pyram,f,5,344,699,Feliks Zemdegs,2009ZEMD01,Australia,a,1094,725,638,734,344,,
491563,MelbourneWinter2014,pyram,1,4,586,780,Feliks Zemdegs,2009ZEMD01,Australia,a,881,806,886,653,586,,
491574,MelbourneWinter2014,444,f,1,2946,3419,Feliks Zemdegs,2009ZEMD01,Australia,a,2946,3643,3194,3663,3419,,
491597,MelbourneWinter2014,444,d,1,2991,3278,Feliks Zemdegs,2009ZEMD01,Australia,a,3484,3347,3003,2991,3775,,
491604,MelbourneWinter2014,222,f,2,266,306,Feliks Zemdegs,2009ZEMD01,Australia,a,283,486,315,266,319,,
491639,MelbourneWinter2014,222,2,2,178,263,Feliks Zemdegs,2009ZEMD01,Australia,a,240,178,272,383,278,,
491687,MelbourneWinter2014,222,1,1,178,225,Feliks Zemdegs,2009ZEMD01,Australia,a,416,178,197,193,286,,
491702,MelbourneWinter2014,555,c,1,5586,5981,Feliks Zemdegs,2009ZEMD01,Australia,a,5586,6013,6983,5988,5943,,
491708,MelbourneWinter2014,333oh,f,1,1293,1419,Feliks Zemdegs,2009ZEMD01,Australia,a,1533,1340,1384,2294,1293,,
491734,MelbourneWinter2014,333oh,d,1,1246,1695,Feliks Zemdegs,2009ZEMD01,Australia,a,1588,1628,1246,1940,1868,,
508284,USNationals2014,pyram,f,9,479,547,Feliks Zemdegs,2009ZEMD01,Australia,a,658,511,479,540,590,,
508330,USNationals2014,pyram,2,13,497,542,Feliks Zemdegs,2009ZEMD01,Australia,a,659,550,572,497,504,,
508531,USNationals2014,pyram,1,25,520,671,Feliks Zemdegs,2009ZEMD01,Australia,a,708,631,520,673,891,,
508568,USNationals2014,222,f,4,170,254,Feliks Zemdegs,2009ZEMD01,Australia,a,295,170,206,260,722,,
508598,USNationals2014,222,3,6,282,322,Feliks Zemdegs,2009ZEMD01,Australia,a,562,283,327,282,357,,
508691,USNationals2014,222,2,12,271,320,Feliks Zemdegs,2009ZEMD01,Australia,a,342,271,398,284,333,,
509058,USNationals2014,222,1,13,138,314,Feliks Zemdegs,2009ZEMD01,Australia,a,259,138,406,345,338,,
509086,USNationals2014,444,f,1,2526,3035,Feliks Zemdegs,2009ZEMD01,Australia,a,3282,2526,2950,2874,3422,,
509118,USNationals2014,444,3,1,2691,3266,Feliks Zemdegs,2009ZEMD01,Australia,a,3559,3233,2691,3526,3038,,
509216,USNationals2014,444,2,2,2983,3139,Feliks Zemdegs,2009ZEMD01,Australia,a,3285,3136,2997,3382,2983,,
509508,USNationals2014,444,d,1,2735,2847,Feliks Zemdegs,2009ZEMD01,Australia,a,3018,2782,2740,3290,2735,,OcR
509524,USNationals2014,minx,f,1,4804,5182,Feliks Zemdegs,2009ZEMD01,Australia,a,6147,4804,5797,4825,4923,,
509634,USNationals2014,minx,d,2,4490,5116,Feliks Zemdegs,2009ZEMD01,Australia,a,5996,4952,5190,4490,5207,,
509676,USNationals2014,666,f,1,11218,11814,Feliks Zemdegs,2009ZEMD01,Australia,m,12025,11218,12198,0,0,OcR,
509794,USNationals2014,666,d,1,11601,11654,Feliks Zemdegs,2009ZEMD01,Australia,m,11738,11601,11622,0,0,,OcR
509935,USNationals2014,333bf,1,65,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
510034,USNationals2014,555,f,1,5547,5689,Feliks Zemdegs,2009ZEMD01,Australia,a,5639,5547,5983,5663,5765,,
510066,USNationals2014,555,3,1,5623,5798,Feliks Zemdegs,2009ZEMD01,Australia,a,5800,5653,6395,5623,5940,,
510146,USNationals2014,555,2,1,4842,5550,Feliks Zemdegs,2009ZEMD01,Australia,a,6580,4842,5848,5016,5786,WR,
510328,USNationals2014,555,d,1,5417,5957,Feliks Zemdegs,2009ZEMD01,Australia,a,5417,6553,6285,5472,6114,,
510337,USNationals2014,sq1,f,8,1283,2054,Feliks Zemdegs,2009ZEMD01,Australia,a,2123,1589,2796,2451,1283,NR,
510401,USNationals2014,sq1,d,16,1606,2381,Feliks Zemdegs,2009ZEMD01,Australia,a,2209,1606,2767,3203,2167,,
510508,USNationals2014,skewb,d,73,898,1456,Feliks Zemdegs,2009ZEMD01,Australia,a,1587,1463,1317,-1,898,,
510634,USNationals2014,333,f,2,631,853,Feliks Zemdegs,2009ZEMD01,Australia,a,962,631,740,1035,857,,
510685,USNationals2014,333,3,1,639,703,Feliks Zemdegs,2009ZEMD01,Australia,a,731,702,745,639,675,,
510833,USNationals2014,333,2,1,613,764,Feliks Zemdegs,2009ZEMD01,Australia,a,788,779,613,725,821,,
511314,USNationals2014,333,1,1,616,803,Feliks Zemdegs,2009ZEMD01,Australia,a,1045,685,857,867,616,,
511330,USNationals2014,777,f,1,16618,17090,Feliks Zemdegs,2009ZEMD01,Australia,m,17223,17429,16618,0,0,,
511441,USNationals2014,777,d,1,16501,16816,Feliks Zemdegs,2009ZEMD01,Australia,m,16892,17055,16501,0,0,,WR
511544,USNationals2014,333fm,f,13,29,3433,Feliks Zemdegs,2009ZEMD01,Australia,m,29,36,38,0,0,OcR,OcR
511571,USNationals2014,333oh,f,2,1282,1355,Feliks Zemdegs,2009ZEMD01,Australia,a,1407,1282,1320,1436,1338,,
511604,USNationals2014,333oh,3,1,1175,1227,Feliks Zemdegs,2009ZEMD01,Australia,a,1390,1238,1175,1214,1229,,OcR
511700,USNationals2014,333oh,2,5,1280,1520,Feliks Zemdegs,2009ZEMD01,Australia,a,1398,1613,1280,1550,1625,,
511935,USNationals2014,333oh,d,1,1257,1405,Feliks Zemdegs,2009ZEMD01,Australia,a,1538,1257,1392,1284,1787,,
511947,USNationals2014,333mbf,f,43,-1,0,Feliks Zemdegs,2009ZEMD01,Australia,2,-1,-2,0,0,0,,
518441,AustralianNationals2014,777,c,1,16847,17281,Feliks Zemdegs,2009ZEMD01,Australia,m,17950,16847,17046,0,0,,
518449,AustralianNationals2014,333oh,f,1,1203,1452,Feliks Zemdegs,2009ZEMD01,Australia,a,1443,1672,1477,1436,1203,,
518484,AustralianNationals2014,333oh,d,2,1143,1777,Feliks Zemdegs,2009ZEMD01,Australia,a,1143,1316,2528,-1,1488,,
518505,AustralianNationals2014,444bf,f,1,45563,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,45563,0,0,,
518514,AustralianNationals2014,clock,c,8,2056,-1,Feliks Zemdegs,2009ZEMD01,Australia,a,2056,-2,-2,-2,-2,,
518534,AustralianNationals2014,666,c,1,11356,11843,Feliks Zemdegs,2009ZEMD01,Australia,m,11356,12009,12163,0,0,,
518542,AustralianNationals2014,333,f,1,640,759,Feliks Zemdegs,2009ZEMD01,Australia,a,694,769,815,640,875,,
518581,AustralianNationals2014,333,2,1,661,713,Feliks Zemdegs,2009ZEMD01,Australia,a,683,661,690,1008,766,,
518674,AustralianNationals2014,333,1,1,633,719,Feliks Zemdegs,2009ZEMD01,Australia,a,978,669,633,718,769,,
518692,AustralianNationals2014,minx,c,1,4977,5270,Feliks Zemdegs,2009ZEMD01,Australia,a,4977,5441,5353,5449,5015,,
518700,AustralianNationals2014,222,f,3,190,266,Feliks Zemdegs,2009ZEMD01,Australia,a,736,338,190,209,252,,
518729,AustralianNationals2014,222,2,4,200,277,Feliks Zemdegs,2009ZEMD01,Australia,a,200,228,316,503,286,,
518795,AustralianNationals2014,222,1,5,253,359,Feliks Zemdegs,2009ZEMD01,Australia,a,488,253,346,452,278,,
518807,AustralianNationals2014,555,f,1,5569,6035,Feliks Zemdegs,2009ZEMD01,Australia,a,5744,5569,6452,5908,6528,,
518832,AustralianNationals2014,555,d,1,5190,5510,Feliks Zemdegs,2009ZEMD01,Australia,a,5190,5778,5483,5269,5936,,WR
518837,AustralianNationals2014,pyram,f,4,555,660,Feliks Zemdegs,2009ZEMD01,Australia,a,555,609,816,1009,555,,
518875,AustralianNationals2014,pyram,1,4,416,512,Feliks Zemdegs,2009ZEMD01,Australia,a,527,416,472,646,536,,
518890,AustralianNationals2014,sq1,c,3,1968,2407,Feliks Zemdegs,2009ZEMD01,Australia,a,2040,2625,2555,2847,1968,,
518897,AustralianNationals2014,333mbf,f,2,950179201,0,Feliks Zemdegs,2009ZEMD01,Australia,2,950179201,-2,0,0,0,,
518902,AustralianNationals2014,skewb,f,4,753,908,Feliks Zemdegs,2009ZEMD01,Australia,a,753,1094,883,1027,813,,
518927,AustralianNationals2014,skewb,1,5,680,1009,Feliks Zemdegs,2009ZEMD01,Australia,a,943,1288,680,1643,796,,
518938,AustralianNationals2014,444,f,1,2640,3051,Feliks Zemdegs,2009ZEMD01,Australia,a,2875,2640,3747,2916,3363,,
518982,AustralianNationals2014,444,d,1,2611,2973,Feliks Zemdegs,2009ZEMD01,Australia,a,3911,2955,3230,2611,2734,,
518998,AustralianNationals2014,333bf,f,1,5140,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,8502,5140,0,0,,
554594,MelbourneCubeDay2014,555,c,1,5436,5769,Feliks Zemdegs,2009ZEMD01,Australia,a,5820,6350,5691,5436,5796,,
554603,MelbourneCubeDay2014,333bf,f,2,7476,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,7476,-1,0,0,,
554607,MelbourneCubeDay2014,222,f,2,108,198,Feliks Zemdegs,2009ZEMD01,Australia,a,330,190,108,200,205,,
554633,MelbourneCubeDay2014,222,2,1,210,249,Feliks Zemdegs,2009ZEMD01,Australia,a,330,210,239,263,245,,
554683,MelbourneCubeDay2014,222,1,1,165,228,Feliks Zemdegs,2009ZEMD01,Australia,a,165,555,250,245,188,,
554687,MelbourneCubeDay2014,333oh,f,1,1113,1417,Feliks Zemdegs,2009ZEMD01,Australia,a,1113,1672,1575,1509,1166,,
554718,MelbourneCubeDay2014,333oh,d,1,1136,1316,Feliks Zemdegs,2009ZEMD01,Australia,a,1136,1403,1697,1286,1258,,
554725,MelbourneCubeDay2014,666,c,1,11556,13466,Feliks Zemdegs,2009ZEMD01,Australia,m,11556,16411,12431,0,0,,
554729,MelbourneCubeDay2014,444,f,1,2769,3042,Feliks Zemdegs,2009ZEMD01,Australia,a,2769,3059,2965,3908,3102,,
554756,MelbourneCubeDay2014,444,d,1,2596,2990,Feliks Zemdegs,2009ZEMD01,Australia,a,3028,3046,2895,2596,3063,,
554764,MelbourneCubeDay2014,333,f,1,609,718,Feliks Zemdegs,2009ZEMD01,Australia,a,609,736,653,856,766,,
554794,MelbourneCubeDay2014,333,2,1,764,841,Feliks Zemdegs,2009ZEMD01,Australia,a,829,801,943,764,893,,
554856,MelbourneCubeDay2014,333,1,1,630,792,Feliks Zemdegs,2009ZEMD01,Australia,a,852,630,855,794,729,,
554861,MelbourneCubeDay2014,777,c,1,16627,17714,Feliks Zemdegs,2009ZEMD01,Australia,m,17672,18844,16627,0,0,,
565894,Johannesburg2014,333,f,1,663,719,Feliks Zemdegs,2009ZEMD01,Australia,a,690,663,809,758,709,,
565919,Johannesburg2014,333,2,1,665,745,Feliks Zemdegs,2009ZEMD01,Australia,a,1177,736,786,713,665,,
566009,Johannesburg2014,333,1,2,659,756,Feliks Zemdegs,2009ZEMD01,Australia,a,921,768,730,771,659,,
566027,Johannesburg2014,333oh,f,1,1206,1316,Feliks Zemdegs,2009ZEMD01,Australia,a,1347,1294,1450,1308,1206,,
566034,Johannesburg2014,222,f,2,178,284,Feliks Zemdegs,2009ZEMD01,Australia,a,313,236,178,303,475,,
566090,Johannesburg2014,222,1,2,171,277,Feliks Zemdegs,2009ZEMD01,Australia,a,302,286,258,171,286,,
566103,Johannesburg2014,minx,f,1,5603,5894,Feliks Zemdegs,2009ZEMD01,Australia,a,6093,5649,6465,5940,5603,,
566121,Johannesburg2014,pyram,f,1,384,606,Feliks Zemdegs,2009ZEMD01,Australia,a,384,744,513,731,575,,
566130,Johannesburg2014,skewb,f,3,902,982,Feliks Zemdegs,2009ZEMD01,Australia,a,927,1161,946,1072,902,,
566149,Johannesburg2014,444,f,1,2569,2622,Feliks Zemdegs,2009ZEMD01,Australia,a,2643,2859,2569,2619,2605,,OcR
568102,CapeTown2014,pyram,f,1,393,664,Feliks Zemdegs,2009ZEMD01,Australia,a,647,688,393,783,656,,
568114,CapeTown2014,222,f,1,244,267,Feliks Zemdegs,2009ZEMD01,Australia,a,303,244,278,265,259,,
568149,CapeTown2014,222,1,1,163,180,Feliks Zemdegs,2009ZEMD01,Australia,a,197,200,177,165,163,,
568159,CapeTown2014,333oh,f,1,1215,1337,Feliks Zemdegs,2009ZEMD01,Australia,a,1391,1544,1252,1368,1215,,
568170,CapeTown2014,444,f,1,2615,2998,Feliks Zemdegs,2009ZEMD01,Australia,a,2913,3144,3281,2938,2615,,
568175,CapeTown2014,minx,f,1,5284,5465,Feliks Zemdegs,2009ZEMD01,Australia,a,5284,5453,5377,6238,5566,,
568189,CapeTown2014,333,f,1,705,767,Feliks Zemdegs,2009ZEMD01,Australia,a,705,848,896,746,706,,
568222,CapeTown2014,333,2,1,608,686,Feliks Zemdegs,2009ZEMD01,Australia,a,708,636,715,802,608,,
568305,CapeTown2014,333,1,1,591,677,Feliks Zemdegs,2009ZEMD01,Australia,a,850,725,609,697,591,,
568311,CapeTown2014,skewb,f,1,671,819,Feliks Zemdegs,2009ZEMD01,Australia,a,972,784,700,671,1493,,
575352,Niddrie2014,pyram,f,3,394,453,Feliks Zemdegs,2009ZEMD01,Australia,a,394,416,440,521,503,,
575383,Niddrie2014,pyram,1,3,365,647,Feliks Zemdegs,2009ZEMD01,Australia,a,365,590,634,890,718,,
575403,Niddrie2014,555,c,1,5288,5420,Feliks Zemdegs,2009ZEMD01,Australia,a,5288,5433,5518,5308,5721,,WR
575411,Niddrie2014,333,f,1,581,728,Feliks Zemdegs,2009ZEMD01,Australia,a,768,686,581,731,788,,
575436,Niddrie2014,333,2,1,653,797,Feliks Zemdegs,2009ZEMD01,Australia,a,1211,653,675,986,730,,
575484,Niddrie2014,333,1,1,627,751,Feliks Zemdegs,2009ZEMD01,Australia,a,828,753,672,-1,627,,
575487,Niddrie2014,skewb,f,6,534,777,Feliks Zemdegs,2009ZEMD01,Australia,a,534,802,788,827,740,,
575508,Niddrie2014,skewb,1,7,691,896,Feliks Zemdegs,2009ZEMD01,Australia,a,691,736,1068,1025,928,,
575521,Niddrie2014,222,f,2,125,229,Feliks Zemdegs,2009ZEMD01,Australia,a,227,200,261,125,586,,
575540,Niddrie2014,222,2,3,143,270,Feliks Zemdegs,2009ZEMD01,Australia,a,402,280,253,277,143,,
575583,Niddrie2014,222,1,1,153,221,Feliks Zemdegs,2009ZEMD01,Australia,a,255,484,153,190,218,,
575591,Niddrie2014,444,f,1,2465,2754,Feliks Zemdegs,2009ZEMD01,Australia,a,3543,2818,2586,2465,2858,,
575619,Niddrie2014,444,d,1,2444,2741,Feliks Zemdegs,2009ZEMD01,Australia,a,2444,2893,2865,2783,2575,OcR,
575627,Niddrie2014,333oh,f,1,1008,1338,Feliks Zemdegs,2009ZEMD01,Australia,a,1008,-1,1077,1352,1584,,
575656,Niddrie2014,333oh,d,1,1116,1172,Feliks Zemdegs,2009ZEMD01,Australia,a,1146,1119,1421,1250,1116,,WR
592735,LifestyleSeasonsSummer2015,skewb,f,2,613,725,Feliks Zemdegs,2009ZEMD01,Australia,a,613,668,636,871,975,,
592744,LifestyleSeasonsSummer2015,333oh,f,1,1013,1326,Feliks Zemdegs,2009ZEMD01,Australia,a,1013,1378,1556,1158,1443,,
592767,LifestyleSeasonsSummer2015,333oh,d,1,1021,1316,Feliks Zemdegs,2009ZEMD01,Australia,a,1175,1021,1543,1427,1346,,
592773,LifestyleSeasonsSummer2015,pyram,f,3,313,505,Feliks Zemdegs,2009ZEMD01,Australia,a,508,503,591,313,503,,
592809,LifestyleSeasonsSummer2015,pyram,1,2,346,470,Feliks Zemdegs,2009ZEMD01,Australia,a,488,452,469,346,813,,
592817,LifestyleSeasonsSummer2015,222,f,2,191,231,Feliks Zemdegs,2009ZEMD01,Australia,a,219,231,244,191,383,,
592842,LifestyleSeasonsSummer2015,222,2,2,175,238,Feliks Zemdegs,2009ZEMD01,Australia,a,375,222,206,286,175,,
592881,LifestyleSeasonsSummer2015,222,1,2,177,270,Feliks Zemdegs,2009ZEMD01,Australia,a,188,431,336,177,286,,
592890,LifestyleSeasonsSummer2015,333,f,1,661,741,Feliks Zemdegs,2009ZEMD01,Australia,a,708,805,828,661,709,,
592920,LifestyleSeasonsSummer2015,333,2,1,575,665,Feliks Zemdegs,2009ZEMD01,Australia,a,752,677,715,602,575,,
592968,LifestyleSeasonsSummer2015,333,1,1,703,723,Feliks Zemdegs,2009ZEMD01,Australia,a,716,721,733,850,703,,
592976,LifestyleSeasonsSummer2015,444,f,1,2784,2876,Feliks Zemdegs,2009ZEMD01,Australia,a,3133,2972,2784,2827,2828,,
593001,LifestyleSeasonsSummer2015,444,d,1,2388,2758,Feliks Zemdegs,2009ZEMD01,Australia,a,2611,2388,3318,3228,2436,OcR,
614450,MelbourneAutumn2015,222,f,1,215,239,Feliks Zemdegs,2009ZEMD01,Australia,a,216,215,252,308,250,,
614471,MelbourneAutumn2015,222,2,1,158,203,Feliks Zemdegs,2009ZEMD01,Australia,a,246,272,183,180,158,,
614534,MelbourneAutumn2015,222,1,3,202,350,Feliks Zemdegs,2009ZEMD01,Australia,a,590,261,202,465,325,,
614544,MelbourneAutumn2015,333,f,1,675,701,Feliks Zemdegs,2009ZEMD01,Australia,a,711,675,703,711,688,,
614564,MelbourneAutumn2015,333,2,1,619,722,Feliks Zemdegs,2009ZEMD01,Australia,a,747,672,747,619,816,,
614648,MelbourneAutumn2015,333,1,1,671,828,Feliks Zemdegs,2009ZEMD01,Australia,a,868,911,671,1196,705,,
614656,MelbourneAutumn2015,444,f,1,2753,2786,Feliks Zemdegs,2009ZEMD01,Australia,a,2780,3255,2772,2806,2753,,
614689,MelbourneAutumn2015,444,d,1,2581,2778,Feliks Zemdegs,2009ZEMD01,Australia,a,3293,2875,2794,2581,2666,,
614697,MelbourneAutumn2015,333oh,f,1,1078,1290,Feliks Zemdegs,2009ZEMD01,Australia,a,1443,1078,1341,1872,1086,,
614723,MelbourneAutumn2015,333oh,d,1,1111,1355,Feliks Zemdegs,2009ZEMD01,Australia,a,1730,1227,1111,1408,1431,,
614730,MelbourneAutumn2015,pyram,f,2,433,550,Feliks Zemdegs,2009ZEMD01,Australia,a,475,618,433,602,572,,
614777,MelbourneAutumn2015,pyram,d,3,522,640,Feliks Zemdegs,2009ZEMD01,Australia,a,665,593,661,684,522,,
614789,MelbourneAutumn2015,666,c,1,11602,12646,Feliks Zemdegs,2009ZEMD01,Australia,m,12880,13455,11602,0,0,,
644823,CanberraAutumn2015,555,c,1,5296,5571,Feliks Zemdegs,2009ZEMD01,Australia,a,5681,5564,5520,5629,5296,,
644831,CanberraAutumn2015,333oh,f,1,688,1392,Feliks Zemdegs,2009ZEMD01,Australia,a,688,1382,1415,1483,1380,WR,
644849,CanberraAutumn2015,333oh,d,1,1122,1387,Feliks Zemdegs,2009ZEMD01,Australia,a,1670,1197,1122,1647,1316,,
644857,CanberraAutumn2015,333fm,f,1,25,2733,Feliks Zemdegs,2009ZEMD01,Australia,m,27,25,30,0,0,OcR,OcR
644866,CanberraAutumn2015,333bf,c,1,6289,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,6289,9119,-1,0,0,,
644873,CanberraAutumn2015,minx,c,1,4994,5791,Feliks Zemdegs,2009ZEMD01,Australia,a,6206,5985,5182,6397,4994,,
644881,CanberraAutumn2015,444,f,1,2372,2817,Feliks Zemdegs,2009ZEMD01,Australia,a,3164,2821,2636,2993,2372,OcR,
644903,CanberraAutumn2015,444,d,1,2669,3144,Feliks Zemdegs,2009ZEMD01,Australia,a,3147,2669,3399,2901,3384,,
644904,CanberraAutumn2015,444bf,c,1,-1,0,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,0,0,0,0,,
644911,CanberraAutumn2015,666,c,1,10695,11349,Feliks Zemdegs,2009ZEMD01,Australia,m,10695,11197,12155,0,0,OcR,OcR
644914,CanberraAutumn2015,777,c,1,15818,17144,Feliks Zemdegs,2009ZEMD01,Australia,m,17688,17926,15818,0,0,OcR,
644921,CanberraAutumn2015,222,f,2,234,265,Feliks Zemdegs,2009ZEMD01,Australia,a,234,290,268,236,504,,
644939,CanberraAutumn2015,222,2,2,228,263,Feliks Zemdegs,2009ZEMD01,Australia,a,283,228,230,276,469,,
644964,CanberraAutumn2015,222,1,2,206,286,Feliks Zemdegs,2009ZEMD01,Australia,a,334,206,293,417,231,,
644968,CanberraAutumn2015,skewb,f,6,738,916,Feliks Zemdegs,2009ZEMD01,Australia,a,1052,738,822,873,1133,,
644983,CanberraAutumn2015,skewb,2,3,615,642,Feliks Zemdegs,2009ZEMD01,Australia,a,622,615,690,615,824,,
645000,CanberraAutumn2015,skewb,1,2,411,563,Feliks Zemdegs,2009ZEMD01,Australia,a,506,696,411,857,487,,
645012,CanberraAutumn2015,333,f,1,766,827,Feliks Zemdegs,2009ZEMD01,Australia,a,841,766,820,941,820,,
645036,CanberraAutumn2015,333,2,1,675,782,Feliks Zemdegs,2009ZEMD01,Australia,a,859,723,959,675,765,,
645071,CanberraAutumn2015,333,1,1,694,800,Feliks Zemdegs,2009ZEMD01,Australia,a,694,831,757,893,812,,
645077,CanberraAutumn2015,pyram,f,3,384,545,Feliks Zemdegs,2009ZEMD01,Australia,a,384,-1,612,495,528,,
645097,CanberraAutumn2015,pyram,d,4,552,603,Feliks Zemdegs,2009ZEMD01,Australia,a,573,671,646,591,552,,
645105,CanberraAutumn2015,sq1,c,2,1983,2337,Feliks Zemdegs,2009ZEMD01,Australia,a,1993,2409,2608,-1,1983,,
654983,CubeForCambodia2015,skewb,f,7,644,852,Feliks Zemdegs,2009ZEMD01,Australia,a,880,961,644,1294,715,,
655014,CubeForCambodia2015,skewb,d,8,640,864,Feliks Zemdegs,2009ZEMD01,Australia,a,1196,640,731,1315,665,,
655054,CubeForCambodia2015,444,c,1,2977,3087,Feliks Zemdegs,2009ZEMD01,Australia,a,3113,2983,3165,2977,3775,,
655062,CubeForCambodia2015,333oh,f,1,1119,1366,Feliks Zemdegs,2009ZEMD01,Australia,a,1350,1653,1119,1308,1441,,
655092,CubeForCambodia2015,333oh,d,1,1197,1381,Feliks Zemdegs,2009ZEMD01,Australia,a,1484,1197,1311,1450,1383,,
655098,CubeForCambodia2015,222,f,3,222,303,Feliks Zemdegs,2009ZEMD01,Australia,a,280,383,327,303,222,,
655124,CubeForCambodia2015,222,2,1,175,202,Feliks Zemdegs,2009ZEMD01,Australia,a,190,213,175,365,202,,
655199,CubeForCambodia2015,222,1,2,128,340,Feliks Zemdegs,2009ZEMD01,Australia,a,400,128,219,440,400,,
655207,CubeForCambodia2015,pyram,f,3,322,531,Feliks Zemdegs,2009ZEMD01,Australia,a,434,322,505,905,653,,
655267,CubeForCambodia2015,pyram,1,3,569,652,Feliks Zemdegs,2009ZEMD01,Australia,a,659,569,1122,646,652,,
655277,CubeForCambodia2015,333,f,1,688,754,Feliks Zemdegs,2009ZEMD01,Australia,a,805,688,715,741,986,,
655308,CubeForCambodia2015,333,2,1,561,665,Feliks Zemdegs,2009ZEMD01,Australia,a,708,611,677,561,1018,OcR,
655394,CubeForCambodia2015,333,1,1,627,731,Feliks Zemdegs,2009ZEMD01,Australia,a,840,846,716,638,627,,
655413,CubeForCambodia2015,555,c,1,5003,5831,Feliks Zemdegs,2009ZEMD01,Australia,a,5805,5669,6419,5003,6019,,
677187,TCGAndFriendsAQP2015,333oh,1,1,1044,1342,Feliks Zemdegs,2009ZEMD01,Australia,a,1044,1600,1482,1254,1290,,
677201,TCGAndFriendsAQP2015,333oh,f,1,1170,1259,Feliks Zemdegs,2009ZEMD01,Australia,a,1366,1223,1522,1189,1170,,
677207,TCGAndFriendsAQP2015,minx,f,1,5221,5333,Feliks Zemdegs,2009ZEMD01,Australia,a,5530,5394,5221,5305,5300,,
677211,TCGAndFriendsAQP2015,444,1,1,2563,2811,Feliks Zemdegs,2009ZEMD01,Australia,a,2901,2792,2563,2740,2980,,
677221,TCGAndFriendsAQP2015,444,f,1,2821,3029,Feliks Zemdegs,2009ZEMD01,Australia,a,3147,3067,3318,2872,2821,,
677225,TCGAndFriendsAQP2015,333,1,1,640,742,Feliks Zemdegs,2009ZEMD01,Australia,a,722,640,839,665,903,,
677281,TCGAndFriendsAQP2015,333,2,1,678,733,Feliks Zemdegs,2009ZEMD01,Australia,a,867,678,688,704,806,,
677302,TCGAndFriendsAQP2015,333,f,2,686,899,Feliks Zemdegs,2009ZEMD01,Australia,a,1028,896,829,686,973,,
677313,TCGAndFriendsAQP2015,777,f,1,17158,17400,Feliks Zemdegs,2009ZEMD01,Australia,m,17364,17158,17678,0,0,,
677322,TCGAndFriendsAQP2015,333bf,1,3,6439,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,6439,-1,0,0,,
677331,TCGAndFriendsAQP2015,333bf,f,4,7051,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,7051,-1,8931,0,0,,
677332,TCGAndFriendsAQP2015,555,f,1,4998,5499,Feliks Zemdegs,2009ZEMD01,Australia,a,5418,5705,6152,4998,5373,,
677340,TCGAndFriendsAQP2015,666,f,1,10929,11515,Feliks Zemdegs,2009ZEMD01,Australia,m,10929,11261,12356,0,0,,
677348,TCGAndFriendsAQP2015,222,d,1,202,306,Feliks Zemdegs,2009ZEMD01,Australia,a,293,202,375,265,359,,
677372,TCGAndFriendsAQP2015,222,f,1,165,259,Feliks Zemdegs,2009ZEMD01,Australia,a,165,297,265,467,215,,
679199,TCGAndFriends2015,333,1,2,654,817,Feliks Zemdegs,2009ZEMD01,Australia,a,787,914,751,998,654,,
