competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord,year
WC2003,1981,2096,David Wesley,Sweden,,ER,2003
WC2003,1671,0,Dan Knights,USA,WR,,2003
WC2003,1779,0,Masayuki Akimoto (秋元正行),Japan,AsR,,2003
WC2003,1830,0,Lars Vandenbergh,Belgium,ER,,2003
WC2003,5429,0,Jasmine Lee,Australia,OcR,,2003
WC2003,1653,0,Jess Bonde,Denmark,WR,,2003
CaltechWinter2004,1507,0,Shotaro Makisumi (牧角章太郎),Japan,WR,,2004
CaltechWinter2004,1476,1653,Shotaro Makisumi (牧角章太郎),Japan,WR,WR,2004
CaltechSpring2004,1393,0,Shotaro Makisumi (牧角章太郎),Japan,WR,,2004
CaltechSpring2004,1211,1538,Shotaro Makisumi (牧角章太郎),Japan,WR,WR,2004
GermanOpen2004,1373,1712,Lars Vandenbergh,Belgium,ER,ER,2004
GermanOpen2004,1561,1635,Lars Vandenbergh,Belgium,,ER,2004
US2004,4628,0,Jasmine Lee,Australia,OcR,,2004
US2004,1585,1791,Chris Hardwick,USA,NAR,NAR,2004
US2004,1664,0,Jon Morris,USA,NAR,,2004
Euro2004,1495,1619,Lars Vandenbergh,Belgium,,ER,2004
CaltechFall2004,1316,1452,Shotaro Makisumi (牧角章太郎),Japan,,WR,2004
DutchOpen2006,2559,2819,Jasmine Lee,Australia,OcR,OcR,2006
Euro2006,1126,1413,Joël van Noort,Netherlands,ER,,2006
US2006,1048,1589,Toby Mao (毛台立),USA,WR,,2006
CaltechSpring2006,1250,1403,Shotaro Makisumi (牧角章太郎),Japan,,AsR,2006
CaltechSpring2006,1475,1516,Darren Kwong,USA,,NAR,2006
CaltechSpring2006,1408,1479,Ryan Patricio,USA,,NAR,2006
CaltechSpring2006,1290,1456,Ryan Patricio,USA,,NAR,2006
Svekub2006,1308,1440,Anssi Vanhala,Finland,,WR,2006
Svekub2006,1247,1322,Anssi Vanhala,Finland,,WR,2006
CaltechWinter2006,1113,1736,Leyan Lo,USA,WR,,2006
CaltechWinter2006,1362,1517,Leyan Lo,USA,,NAR,2006
Rutgers2005,1323,1523,Leyan Lo,USA,,NAR,2005
WC2005,1324,0,Ryan Patricio,USA,NAR,,2005
WC2005,2796,0,Jasmine Lee,Australia,OcR,,2005
WC2005,1287,1709,Chris Hardwick,USA,NAR,,2005
WC2005,1300,1510,Jean Pons,France,,ER,2005
WC2005,1270,1697,Matt Walter,Canada,NAR,,2005
CaltechFall2005,1433,1585,Ryan Patricio,USA,,NAR,2005
CaltechFall2005,1489,1551,Ryan Patricio,USA,,NAR,2005
DutchOpen2005,1362,1578,Jean Pons,France,ER,,2005
DutchOpen2005,3062,3477,Jasmine Lee,Australia,OcR,OcR,2005
DutchOpen2005,1175,1664,Jean Pons,France,WR,,2005
CaltechDallas2005,1554,1659,Leyan Lo,USA,,NAR,2005
CaltechDallas2005,1397,1596,Chris Hardwick,USA,,NAR,2005
HoraceMann2005,1378,1686,Chris Hardwick,USA,,NAR,2005
HoraceMann2005,1341,1859,Quinn Lewis,USA,NAR,,2005
GermanOpen2005,1485,1546,Lars Vandenbergh,Belgium,,ER,2005
GermanOpen2005,1431,1529,Lars Vandenbergh,Belgium,,ER,2005
GermanOpen2005,1362,1570,Lars Vandenbergh,Belgium,ER,,2005
France2005,1549,1557,Edouard Chambon,France,,ER,2005
CaltechSpring2005,1542,1740,Leyan Lo,USA,NAR,NAR,2005
CaltechWinter2005,1577,1986,Leyan Lo,USA,NAR,,2005
CaltechFall2006,1204,1415,Shotaro Makisumi (牧角章太郎),Japan,AsR,,2006
CaltechFall2006,1230,1334,Shotaro Makisumi (牧角章太郎),Japan,,AsR,2006
CaltechFall2006,1309,1377,Ryan Patricio,USA,,NAR,2006
UKOpen2006,2060,0,Jasmine Lee,Australia,OcR,,2006
UKOpen2006,2037,2671,Jasmine Lee,Australia,OcR,OcR,2006
KCRC2007,1131,0,JeongMin Yu (유정민),Korea,AsR,,2007
KCRC2007,1109,1176,JeongMin Yu (유정민),Korea,AsR,WR,2007
BelgianOpen2007,1036,1317,Edouard Chambon,France,WR,ER,2007
BelgianOpen2007,1131,1303,Thibaut Jacquinot,France,,ER,2007
SpanishOpen2007,986,1274,Thibaut Jacquinot,France,WR,ER,2007
CaltechSpring2007,1008,1491,Dan Dzoan,USA,NAR,,2007
CanadianOpen2007,2161,2496,Emile Compion,South Africa,AfR,AfR,2007
CanadianOpen2007,1248,1359,Harris Chan,Canada,,NAR,2007
JapanOpen2007,1055,0,JeongMin Yu (유정민),Korea,AsR,,2007
MurciaOpen2007,1018,1236,Edouard Chambon,France,,ER,2007
CaltechSummer2007,1270,1355,Ryan Patricio,USA,,NAR,2007
CaltechSummer2007,1271,1347,Ryan Patricio,USA,,NAR,2007
MalaysianOpen2009,788,1042,Piti Pichedpan (ปิติ พิเชษฐพันธ์),Thailand,AsR,AsR,2009
